"id","name","parent_id","date"
"9578","Die wilden Hühner",\N,"2006-02-09"
"9649","El Mariachi",\N,"2003-08-27"
"9734","The Lion King",\N,"2019-07-09"
"9735","Friday the 13th",\N,"2009-02-13"
"9743","Hannibal Lecter",\N,"2021-06-24"
"9744","Fantastic Four",\N,"2015-08-05"
"9818","Mortal Kombat",\N,"2023-10-06"
"9887","Species",\N,"2007-10-02"
"9888","Home Alone",\N,"2021-11-12"
"10143","Iron Man",\N,"2013-04-18"
"10182","A Nightmare on Elm Street",\N,"2010-05-20"
"10194","Toy Story",\N,"2019-06-14"
"10262","Goal",\N,"2009-01-01"
"10352","Urban Legend",\N,"2005-07-19"
"10441","Spacecenter Babylon 5",\N,"1999-01-03"
"10453","Poltergeist",\N,"1988-06-10"
"10454","Dracula",\N,"2005-07-12"
"10455","Chucky",\N,"2022-11-23"
"10456","Dirty Harry",\N,"1988-07-13"
"10457","黃飛鴻",\N,"1997-02-22"
"10460","Die Drei ???",\N,"2009-03-19"
"10465","Behind Enemy Lines",\N,"2009-01-06"
"10517","Le Gendarme de St. Tropez",\N,"1982-10-06"
"10522","Starship Troopers",\N,"2017-08-21"
"10554","Eis am Stiel",\N,"1988-08-18"
"10709","The Mighty Ducks",\N,"1996-10-04"
"10713","Universal Soldier",\N,"2009-01-01"
"10721","Mimic",\N,"2003-04-14"
"10789","Pet Sementary",\N,"1992-08-28"
"10815","Urmel",\N,"2008-05-01"
"10892","Tremors",\N,"2020-10-07"
"10893","Critters",\N,"1992-08-20"
"10901","Pokémon",\N,"2018-07-13"
"10919","The Omen",\N,"2006-06-06"
"10924","From Dusk Till Dawn",\N,"2016-11-01"
"10928","National Lampoon's",\N,"2011-08-05"
"10964","Plattfuß",\N,"1980-06-19"
"11118","Olsen-banden",\N,"1998-12-18"
"11136","The Muppets",\N,"1999-07-14"
"11138","Beethoven",\N,"2014-10-14"
"11140","Dr. Mabuse",\N,"1972-01-01"
"11173","Die wilden Kerle",\N,"2016-02-11"
"11294","Pusher",\N,"2005-09-02"
"11341","Die Lümmel von der ersten Bank",\N,"1972-01-01"
"11582","Don Camillo",\N,"1984-05-04"
"11685","Night of the Living Dead",\N,"2009-12-01"
"11716","Addams Family",\N,"1998-09-22"
"11794","Ginger Snaps",\N,"2004-07-10"
"11875","Pippi Langstrumpf",\N,"1970-11-14"
"11924","Michel aus Lönneberga",\N,"1973-10-06"
"12075","Elling",\N,"2005-09-23"
"12077","St. Trinian's",\N,"2007-12-10"
"12087","Herbie",\N,"2005-06-19"
"12141","3 Men",\N,"1990-11-21"
"12203","Jui kuen",\N,"1994-02-03"
"12263","The Exorcist",\N,"2023-10-12"
"12267","Immenhof",\N,"1974-09-13"
"12687","Psycho",\N,"2017-04-24"
"12961","Games Odyssey",\N,"2002-12-05"
"13135","Drogues et cerveau",\N,"2005-10-14"
"13295","xXx",\N,"2005-04-27"
"13326","The Emperor's New Groove",\N,"2005-11-29"
"13346","The Net",\N,"2006-02-07"
"13365","Wild Things",\N,"2010-06-01"
"13382","The Butterfly Effect",\N,"2009-01-09"
"13386","Jackass",\N,"2022-05-20"
"13485","Skin Territory",\N,"2014-01-01"
"13493","National Treasure",\N,"2023-02-08"
"13495","The Arrival",\N,"1998-11-06"
"13498","L' Auberge Espagnole",\N,"2013-08-23"
"13522","Final Fantasy",\N,"2005-09-14"
"14073","Analyze This",\N,"2002-12-06"
"14075","Hostel",\N,"2011-12-22"
"14081","The Thin Man",\N,"1944-11-21"
"14118","Basic Instinct",\N,"2006-03-21"
"14123","Dune",\N,"2023-11-03"
"14126","攻殻機動隊",\N,"2004-03-06"
"14139","Discworld",\N,"2008-03-23"
"14149","[Rec]",\N,"2009-09-02"
"14408","Hellboy",\N,"2019-04-09"
"14450","Stargate Franchise",\N,"2011-05-09"
"14462","Offenbarung: Gottes \"roadmap\" zum ewigen Frieden",\N,"2004-02-20"
"14463","Gesundheit: kein Zufall!",\N,"2005-05-04"
"14465","Zeitgeschehen",\N,"2005-05-05"
"14466","Bludenz 2007",\N,"2007-06-09"
"14480","The X Files",\N,"2018-03-21"
"14514","Beowulf",\N,"2007-11-14"
"14521","OTE",\N,"2011-06-01"
"14536","The Whole Yards",\N,"2004-04-07"
"14538","Zärtliche Chaoten",\N,"1988-06-30"
"14549","The Dentist",\N,"1998-01-01"
"14570","Dirty Dancing",\N,"2004-02-27"
"14571","Meet the Parents",\N,"2010-08-05"
"14579","Hot Shots!",\N,"1993-05-21"
"14581","ヱヴァンゲリヲン新劇場版",\N,"2021-01-23"
"14583","The Art of War",\N,"2008-08-12"
"14587","Playboy: Voluptuous Vixens",\N,"1998-07-21"
"14717","Cocaine Cowboys",\N,"2008-01-01"
"14727","AVP: Alien vs. Predator",\N,"2007-12-25"
"14744","Vampire Hunter D",\N,"2000-08-25"
"14791","I Kina spiser de hunde",\N,"2002-07-12"
"14798","No Retreat, No Surrender",\N,"1990-03-17"
"14812","Cheaper by the Dozen",\N,"2005-12-21"
"14841","Open Season",\N,"2015-12-18"
"15063","The Twilight Saga",\N,"2012-11-14"
"15580","Crank",\N,"2009-04-16"
"15586","Kung Fu Panda",\N,"2019-07-04"
"15591","Harold & Kumar",\N,"2011-11-04"
"15593","Ong-Bak",\N,"2010-05-05"
"15633","Garfield",\N,"2006-06-15"
"15659","High School Musical",\N,"2022-09-14"
"15660","Vi på Saltkråkan",\N,"1967-12-02"
"15703","South Park Filmreihe",\N,"2008-03-11"
"15742","Quatermass",\N,"1967-11-09"
"15757","英雄本色",\N,"1989-10-20"
"15816","Heimat",\N,"2004-12-29"
"15824","Reformation",\N,"2009-02-12"
"15857","Che",\N,"2008-05-22"
"15971","Apur Sansar",\N,"1959-05-01"
"15980","Re-Animator",\N,"2003-04-04"
"16047","Rupan sansei",\N,"2019-12-06"
"16054","Speed",\N,"1997-06-13"
"16055","Cannonball Run",\N,"1989-04-21"
"16063","Bleach",\N,"2010-12-04"
"16091","Naruto",\N,"2014-12-06"
"16118","One Piece",\N,"2023-08-31"
"16171","Tetsuo",\N,"1992-10-03"
"16211","Open Water",\N,"2017-02-25"
"16341","Cabin Fever",\N,"2016-02-12"
"16451","Dungeons & Dragons",\N,"2023-03-10"
"17400","Brenner-Tetralogie",\N,"2015-03-05"
"17590","The Hobbit",\N,"2014-12-01"
"19116","Miss Congeniality",\N,"2005-03-11"
"19899","Twitches",\N,"2007-10-12"
