"movie_id","vote_average","votes_count"
"1","3.25","4"
"2","8","3"
"3","7.8000001907","5"
"4","7.75","4"
"5","6.478260994","23"
"6","9","1"
"8","7.5","4"
"9","6.7857098579","14"
"11","6.7205901146","68"
"12","7.2564101219","39"
"13","6.8493151665","73"
"14","7.328125","64"
"15","8","26"
"16","6.6999998093","20"
"17","4.8181819916","11"
"18","6.7561001778","41"
"19","7.6363635063","33"
"20","6.8000001907","20"
"21","6.555560112","9"
"22","6.8974356651","39"
"24","6.4150900841","106"
"25","5.8333301544","12"
"26","6.4375","16"
"27","6.1111102104","9"
"28","8.1666698456","54"
"30","7.5","2"
"31","6.5","2"
"33","6.8928599358","28"
"35","6.8620691299","29"
"38","7.4897956848","49"
"55","6.5333299637","30"
"58","6.6551699638","29"
"59","6.7435898781","39"
"60","8.8000001907","5"
"61","7","3"
"62","7.2739725113","73"
"63","6.6388888359","36"
"64","6.9655199051","29"
"65","6.3888888359","18"
"66","6.6153798103","13"
"67","6.25","12"
"68","6.9210500717","38"
"69","6.8285713196","35"
"70","6.7674417496","43"
"71","7.235294342","17"
"72","6.6666698456","3"
"73","7.3333334923","21"
"74","5.2820510864","39"
"75","6.8863635063","44"
"76","6.3636364937","11"
"77","7.4210524559","76"
"78","7.5496182442","131"
"79","7.1428599358","28"
"80","6.5","10"
"81","6.9545497894","22"
"82","6.5","12"
"83","5.5","2"
"85","6.686270237","51"
"86","5.75","12"
"87","6.5428571701","35"
"88","6.5999999046","20"
"89","6.7647099495","68"
"90","6.2222223282","27"
"91","7.6666698456","6"
"92","7.5","4"
"93","7.3809499741","21"
"94","5.5","2"
"95","5.2727274895","22"
"96","5.444439888","18"
"97","6.8333334923","18"
"98","6","178"
"99","6.1162800789","43"
"100","6.7916698456","24"
"101","7.5362319946","69"
"102","6.7777776718","9"
"103","7.7560977936","41"
"104","6.7777776718","72"
"105","6.8115940094","69"
"106","6.2340426445","47"
"107","6.71875","32"
"108","6.7083301544","24"
"109","6.5999999046","15"
"110","6.625","16"
"111","7.6571426392","35"
"112","7.5","6"
"113","6.4000000954","10"
"114","6.739130497","23"
"115","7.6585364342","82"
"116","6.7142901421","21"
"117","6.7647099495","34"
"118","6.6470599174","17"
"120","7.7142858505","84"
"121","7.6483516693","91"
"122","7.6629214287","89"
"123","5.4000000954","5"
"125","6","1"
"126","7","1"
"127","8","2"
"128","6.7906999588","43"
"129","6.629629612","27"
"130","8.5","2"
"132","6.6666698456","3"
"133","5.6666698456","6"
"134","7.8620691299","29"
"135","7.1999998093","5"
"136","7.8333334923","6"
"137","7.4666666985","45"
"138","6.6666698456","12"
"139","6.625","8"
"140","6.7142901421","14"
"141","7.7333331108","60"
"142","7.2307701111","52"
"143","8.875","8"
"144","7.5263199806","19"
"145","6.514289856","35"
"146","7.5999999046","20"
"147","7.5806450844","62"
"148","7.0769200325","13"
"149","6.5999999046","25"
"150","6.4000000954","10"
"152","6.2727274895","11"
"153","6.5121951103","41"
"154","7","8"
"155","6.9402985573","67"
"156","6.6551699638","29"
"157","7.1111111641","9"
"158","7.8787899017","33"
"159","6.0833334923","12"
"160","6.3000001907","10"
"161","6.6538462639","26"
"162","7.7884616852","52"
"163","6.4074072838","27"
"164","6.4102563858","78"
"165","6.8076925278","26"
"166","6.7777776718","9"
"167","6.3000001907","20"
"168","6.7272725105","11"
"169","5.5999999046","15"
"170","6.6538462639","26"
"171","5.6666698456","3"
"172","6","8"
"173","6","7"
"174","7.8333334923","6"
"175","5.4666700363","15"
"176","6.108109951","148"
"177","8.1999998093","5"
"178","6.8000001907","5"
"179","6.3636364937","11"
"180","6.7605600357","71"
"182","5.1111102104","9"
"183","5","1"
"184","7.2692308426","26"
"185","7.5272727013","110"
"186","6.8148198128","27"
"187","7.1300001144","100"
"189","7","5"
"191","6.4375","16"
"192","6.6666665077","75"
"193","7.5","6"
"194","7.6326532364","49"
"195","7.25","4"
"196","6.8461537361","26"
"197","6.6101698875","59"
"198","7.2666668892","15"
"199","7","15"
"200","7.5999999046","10"
"201","7.1428570747","7"
"203","6.8333301544","18"
"204","6.6071429253","28"
"205","6.8000001907","15"
"207","7.913043499","23"
"210","8","1"
"211","7.4000000954","5"
"212","8","2"
"213","6.9745764732","118"
"214","5.1999998093","15"
"215","5.5333299637","15"
"216","7.7647099495","17"
"217","6.4318180084","44"
"218","7.0500001907","40"
"219","7.2727298737","22"
"220","6.6666698456","12"
"221","6.8947401047","19"
"222","7.25","4"
"223","6.6111111641","36"
"224","6.6363601685","11"
"225","7","4"
"226","6.4800000191","25"
"227","6.7272725105","11"
"228","6.8125","16"
"229","8","4"
"231","6.6315798759","19"
"232","5.75","4"
"233","6.4000000954","5"
"234","6.8666701317","15"
"235","6.7419352531","62"
"236","6.7391300201","23"
"237","4.25","4"
"238","8.321428299","84"
"239","7.682539463","63"
"240","8.3793106079","58"
"241","6.527780056","36"
"242","6.0769228935","39"
"243","6.5384597778","26"
"244","6.5789499283","19"
"245","6.5999999046","15"
"246","6.5789499283","19"
"247","6.6428599358","14"
"248","7.75","4"
"249","7.1428570747","7"
"250","6.6111102104","18"
"251","6.3333301544","21"
"252","7","11"
"253","6.1428599358","7"
"254","6.1363601685","22"
"255","7.6470589638","51"
"256","6.5","4"
"257","5.1428599358","14"
"258","7.3387098312","62"
"259","6.6399998665","50"
"260","6.829269886","41"
"261","6.696969986","33"
"262","6.8888897896","9"
"265","6.3333301544","12"
"266","7.4736843109","19"
"267","6.6666698456","6"
"268","6.5","24"
"269","6.7333297729","30"
"270","5","3"
"271","6.7142901421","28"
"272","6.7894735336","38"
"273","6.4285697937","14"
"274","7.9387755394","98"
"275","7.508769989","57"
"276","6.1875","16"
"277","6.7333331108","15"
"278","7.7575759888","99"
"279","6.7377047539","61"
"280","6.9875001907","80"
"281","7.5","16"
"284","7.4000000954","15"
"285","6.482758522","29"
"286","7.4000000954","5"
"287","5.5714302063","7"
"288","7.4800000191","25"
"289","7.2295098305","61"
"290","6.4000000954","20"
"291","6.5","8"
"292","6.1999998093","10"
"293","7","11"
"294","8.25","4"
"296","5.6888890266","45"
"297","6.6363601685","22"
"298","6.0714287758","14"
"299","7.5","2"
"300","6.6571397781","35"
"301","7","20"
"302","6.842110157","19"
"303","6.5999999046","20"
"306","4.1666665077","6"
"307","6.555560112","9"
"308","6.6470599174","17"
"309","6.6666698456","15"
"310","5.5333299637","15"
"311","7.6129031181","62"
"312","6.875","8"
"313","6.7142901421","14"
"314","5.2941174507","17"
"315","6.3333301544","9"
"316","8.1999998093","5"
"317","6.5714302063","7"
"318","8","4"
"319","6.5294098854","34"
"320","6.625","8"
"321","6.5","12"
"322","6.6315798759","19"
"326","6.25","4"
"327","6.1999998093","10"
"329","6.7746477127","71"
"330","6.5","38"
"331","6.0967741013","31"
"332","4","3"
"333","7","1"
"334","6.764705658","34"
"335","7.608695507","46"
"336","7.8000001907","5"
"337","6.2352900505","17"
"338","7.6153845787","26"
"339","7.3846154213","26"
"340","6.5454502106","11"
"341","6.7826099396","23"
"342","6.5833301544","24"
"343","7.6904802322","42"
"344","7.1428570747","7"
"345","6.2631602287","19"
"346","7.5882401466","17"
"347","6.1999998093","5"
"348","7.1333298683","60"
"349","5.8000001907","10"
"350","6.2307701111","13"
"351","6.25","8"
"363","7.7333297729","15"
"364","6.2380952835","21"
"377","6.6363635063","11"
"378","6.5454545021","11"
"379","6.6315789223","19"
"380","7.6666665077","27"
"381","7.2777776718","36"
"383","5.4285697937","7"
"387","7.5777778625","45"
"388","6.944439888","18"
"389","7.5438594818","57"
"390","6.375","8"
"391","6.7647099495","17"
"392","6.4285697937","21"
"393","6.4255299568","94"
"395","5.7333331108","15"
"396","8","5"
"397","6.5306124687","49"
"398","6.3333301544","12"
"401","6.9473700523","19"
"402","6.75","32"
"403","6.4736843109","19"
"404","7.3333334923","12"
"405","7.3846201897","13"
"406","6.5","22"
"407","6.3571400642","14"
"408","7","11"
"409","5.6181817055","55"
"410","6.8666701317","15"
"411","5.5714287758","21"
"412","7","4"
"413","5.3333301544","3"
"414","5.3076901436","13"
"415","4.4166698456","24"
"416","7.3333301544","3"
"417","7.75","4"
"418","7.5","2"
"419","3.1052598953","19"
"421","6.6842103004","19"
"422","6.6666698456","15"
"423","7.870967865","31"
"424","7.0693068504","101"
"425","6.9444446564","18"
"426","7.6849312782","73"
"427","7.9230799675","13"
"428","6.5","8"
"429","7.6388897896","36"
"430","8.2857103348","7"
"431","7","15"
"433","6.4347801208","23"
"434","6.6470599174","17"
"435","5.2083301544","24"
"436","7.0476198196","21"
"437","6.5","4"
"438","7","3"
"439","7.444439888","9"
"441","6","16"
"442","6.3636398315","11"
"443","7.5","2"
"444","7.5","2"
"445","7","19"
"446","6.555560112","9"
"451","7.3000001907","10"
"452","5.75","8"
"453","7.6041665077","48"
"454","6.6363601685","11"
"455","6.5199999809","25"
"457","6.625","32"
"458","6.4615402222","26"
"459","6.4285697937","21"
"460","5.7142901421","7"
"462","6.2666668892","15"
"464","7.5333299637","15"
"465","5.5999999046","5"
"466","6.944439888","18"
"467","6.4285697937","7"
"468","6.655172348","29"
"469","7.5","6"
"470","6.7435898781","39"
"471","6.25","4"
"472","7.1428599358","7"
"473","6.5454545021","11"
"474","7.6666698456","6"
"475","7","23"
"476","7.0833301544","12"
"477","9.3999996185","5"
"478","8.875","8"
"479","6.6666698456","12"
"480","6.5","10"
"481","6.6363601685","11"
"482","7.1666698456","6"
"483","7.0909090042","22"
"484","8.5","2"
"485","8.6666698456","3"
"486","8.5","2"
"487","8.25","4"
"488","7.4242424965","33"
"489","7.8048801422","41"
"490","7.8095197678","21"
"491","7.3333301544","3"
"492","6.6410298347","39"
"493","6","1"
"494","7","1"
"496","4.4390244484","41"
"497","7.625","32"
"499","6.8333301544","12"
"500","7.8571429253","35"
"501","6.5483899117","31"
"502","6.222219944","9"
"503","3.7857143879","14"
"504","6.2307701111","13"
"505","6.25","12"
"506","6.882352829","34"
"507","6.0999999046","10"
"508","7.4545454979","11"
"509","6.9565215111","23"
"510","7.913793087","58"
"511","6","11"
"512","6.4117598534","17"
"513","6.555560112","9"
"514","7","1"
"515","7","1"
"516","6","2"
"517","8","3"
"519","7.3333301544","3"
"520","8.4285697937","7"
"521","6.8536601067","41"
"522","6.4736800194","19"
"523","6.3846201897","13"
"524","7.5882353783","34"
"525","7.3043479919","23"
"526","6.6428599358","14"
"527","8","3"
"530","9.1666669846","6"
"531","9","1"
"532","8.3333330154","3"
"533","7.5","6"
"534","5.8571429253","14"
"535","6.8333301544","6"
"537","6.5454502106","11"
"538","6","1"
"539","7.6478872299","71"
"540","7","3"
"541","6.5999999046","10"
"542","6.4000000954","5"
"543","6.5","10"
"544","6.8249998093","40"
"545","8.3999996185","5"
"546","6.3888897896","18"
"547","6.25","12"
"548","7.4615402222","13"
"549","6.3636398315","11"
"550","8.2264146805","106"
"551","6.5","12"
"552","7.3333301544","3"
"553","6.6896600723","29"
"554","6.5945901871","37"
"555","7","5"
"557","6.4054055214","37"
"558","6.5609755516","41"
"559","5.0357141495","28"
"560","6.5","10"
"561","6.5999999046","20"
"562","6.7260274887","73"
"563","6.3411765099","85"
"564","6.1999998093","10"
"565","6.3076901436","13"
"566","6.4615383148","13"
"567","7.6470589638","68"
"568","7.1666665077","18"
"569","6.6666698456","15"
"570","6.1999998093","10"
"571","7.6666698456","60"
"572","4.75","4"
"573","7.5","6"
"574","6.8421053886","38"
"575","6.6216201782","37"
"576","7.0666699409","15"
"577","6.4285697937","7"
"578","6.7037000656","27"
"579","7","7"
"580","2.8571429253","7"
"581","6.9411764145","17"
"582","8.1111106873","45"
"583","7.5849056244","53"
"584","3.166670084","6"
"585","7.125","16"
"586","6.2857098579","14"
"587","7.6829266548","41"
"588","6.75","16"
"590","5.9000000954","10"
"591","5.2750000954","40"
"592","6.8000001907","10"
"593","7.1666698456","18"
"594","5.6666665077","18"
"595","6.9411802292","17"
"596","6.6999998093","10"
"597","7.2843136787","204"
"598","6.8166699409","60"
"599","7.3076925278","13"
"600","7.9717001915","106"
"601","6.9629631042","27"
"602","6.4666700363","15"
"603","7.7922077179","77"
"604","5.8387098312","31"
"605","5.8888897896","27"
"606","7.0999999046","20"
"607","6.7307701111","26"
"608","5.9166698456","12"
"609","6.5","12"
"612","6.4000000954","15"
"613","7.1538462639","26"
"614","7.125","16"
"615","5.1836733818","49"
"616","6.8809499741","42"
"617","6.2857141495","14"
"618","8.3999996185","5"
"619","5.444439888","9"
"620","7.0526313782","19"
"621","7.4000000954","5"
"622","6.8400001526","25"
"623","7.125","16"
"624","6.7692298889","13"
"625","7.5999999046","5"
"626","7","4"
"627","6.8076901436","26"
"628","6.7428569794","35"
"629","7.6470589638","51"
"630","6.5714302063","21"
"631","7.4705901146","17"
"632","5.8000001907","5"
"633","7","6"
"634","5.6153798103","13"
"635","7.4285712242","7"
"636","6.4000000954","10"
"637","7.7600002289","25"
"638","6.7173914909","46"
"639","8","15"
"640","7.0399999619","25"
"641","7.6363601685","33"
"642","7.625","8"
"643","6.7333297729","15"
"644","7.0188698769","53"
"646","6.5789475441","19"
"647","8.25","4"
"648","7.75","4"
"649","6.4705901146","17"
"650","6.5333333015","15"
"651","8","6"
"652","6","20"
"653","7.0434784889","23"
"654","7.2857098579","21"
"655","7.2222223282","9"
"657","7.625","8"
"658","6.5454502106","11"
"659","7.8214287758","28"
"660","6.5","12"
"661","8","6"
"662","6.8400001526","25"
"663","4.5","10"
"664","5.5555553436","9"
"665","7.3142857552","35"
"666","7.4000000954","5"
"667","7.125","8"
"668","6.25","4"
"669","6.5882401466","17"
"670","6.8571400642","70"
"671","6.8048782349","41"
"672","6.2857141495","21"
"673","6.6363635063","22"
"674","6.375","24"
"675","6.1304349899","23"
"676","4.7169799805","53"
"677","4.8333301544","12"
"678","6.9090909958","11"
"679","6.7837839127","37"
"680","7.9019608498","102"
"681","6.4285697937","7"
"682","6.5999999046","5"
"685","5.0714302063","14"
"686","6.4285712242","21"
"687","7.4210524559","19"
"688","6.625","8"
"689","7.5999999046","5"
"690","8","4"
"691","6.5333299637","15"
"692","5","6"
"693","6.3333334923","21"
"694","8","57"
"695","7.3333301544","6"
"696","6","1"
"697","8","3"
"698","7","8"
"699","6.1538500786","13"
"700","6.3000001907","10"
"701","8.1999998093","5"
"702","6.6999998093","20"
"703","7.9230771065","13"
"704","7.5","4"
"705","7.3333334923","15"
"706","4.3333301544","3"
"707","6.8571400642","7"
"708","5.9166665077","12"
"709","6.875","8"
"710","6.2666668892","15"
"711","7","2"
"712","6.6428570747","14"
"713","5.875","32"
"714","6.0999999046","10"
"715","5.3888897896","18"
"716","6.1666665077","6"
"717","7.826086998","23"
"718","6.5","4"
"719","7.8125","16"
"720","8.625","8"
"721","7.4285697937","7"
"722","7.4000000954","5"
"723","3.666670084","15"
"724","5.3333301544","6"
"725","6.5","8"
"726","6.5","14"
"727","7.3793101311","29"
"728","7.2307691574","13"
"729","7.125","16"
"730","8.0714302063","14"
"731","7.6666698456","3"
"732","7.1875","16"
"733","7.5555553436","9"
"734","6.5","10"
"736","8.25","4"
"737","8.6999998093","10"
"738","6.7333331108","15"
"739","6.4210500717","19"
"740","6.4736843109","19"
"741","6.1111102104","18"
"742","8.25","4"
"743","7.3333301544","6"
"744","5.7826099396","23"
"745","7.5576925278","52"
"746","6.9090900421","11"
"747","7.2758622169","29"
"750","8","5"
"751","7.4000000954","5"
"752","6.7346940041","49"
"753","7.8000001907","5"
"754","6.5238099098","21"
"755","7.3269228935","52"
"756","6.8461499214","13"
"757","7","5"
"758","7.3333301544","3"
"759","7","7"
"760","7","1"
"762","7.2962961197","27"
"763","7.2857141495","14"
"764","7.375","16"
"765","6.3571429253","14"
"766","6.9166665077","12"
"767","6.5555553436","9"
"768","7.75","8"
"769","7.6734695435","49"
"770","7.2222223282","36"
"771","6.6363635063","22"
"772","6.0999999046","10"
"773","7.5454545021","55"
"774","6","4"
"775","7.6999998093","10"
"776","7.6666698456","6"
"777","8.1666698456","6"
"778","7.0769200325","13"
"779","7.3333301544","3"
"780","8.1428604126","7"
"781","6","4"
"782","6.826089859","23"
"783","6.9090909958","22"
"784","8","4"
"786","6.6111102104","18"
"787","6.2222223282","18"
"788","6.5333333015","15"
"789","7.8333301544","6"
"790","6.0999999046","10"
"791","2.3333332539","6"
"792","6.75","20"
"793","6.8000001907","20"
"794","7.4000000954","5"
"795","6","8"
"796","6.5500001907","20"
"797","6.6428599358","14"
"799","7","2"
"800","7.8000001907","5"
"801","6.9166665077","12"
"802","8.25","4"
"803","7.2666702271","15"
"804","7","11"
"805","7.5517201424","29"
"806","4.8333334923","6"
"807","7.9655170441","87"
"808","6.6956520081","23"
"809","6.7826085091","23"
"810","6","13"
"811","7.0833301544","12"
"812","7.0714287758","14"
"813","6.8000001907","10"
"814","8","3"
"815","6.5333299637","15"
"816","6.8235292435","17"
"817","6.3076925278","13"
"818","6.6999998093","10"
"819","6.8695650101","23"
"820","7","7"
"821","7","3"
"822","8","2"
"823","7.6666698456","3"
"824","6.6363601685","11"
"825","7.4000000954","5"
"826","6.5714287758","14"
"827","8","5"
"828","6.75","8"
"829","8.2307701111","13"
"830","8","2"
"831","5.5","2"
"832","8.1999998093","10"
"833","8","4"
"834","6.3571429253","14"
"835","7","2"
"836","6.555560112","9"
"837","7.75","4"
"838","6.3333301544","6"
"839","6.7142901421","7"
"840","6.6428570747","14"
"841","6.8125","16"
"842","7.8000001907","5"
"843","7.2941174507","17"
"844","5.7333331108","15"
"845","7.173910141","23"
"846","6.4166698456","12"
"847","6.777780056","9"
"848","7.6666698456","3"
"850","6.6153845787","13"
"851","7","8"
"852","8.0625","16"
"853","6.8181800842","11"
"854","6.3333334923","15"
"855","6.125","24"
"856","6.8000001907","15"
"857","7.2325601578","43"
"858","6.3333301544","15"
"859","7","14"
"860","7.0714287758","14"
"861","6.8591499329","71"
"862","6.7272701263","11"
"863","6.5833334923","12"
"864","7.0909090042","11"
"865","6.6666698456","12"
"866","6.7857141495","14"
"867","3.75","4"
"868","6.8333301544","24"
"869","6.125","8"
"870","8","5"
"871","7.235294342","17"
"872","6.7857141495","14"
"873","6.7619047165","21"
"875","7.5","4"
"876","8.375","8"
"877","7.4000000954","5"
"878","6.3571400642","14"
"879","6.1428570747","7"
"880","6.375","8"
"881","6.7894701958","19"
"882","7.3333301544","3"
"883","6.6923098564","26"
"885","7.8000001907","5"
"886","6.5999999046","25"
"887","6.5714302063","7"
"888","4.25","4"
"889","3","2"
"890","6.6626501083","83"
"891","8.125","8"
"892","6.8181800842","22"
"893","7","5"
"894","7.25","4"
"895","8.3999996185","5"
"896","6.444439888","9"
"897","8","5"
"898","8.5","2"
"899","7.75","4"
"900","6.5185184479","27"
"901","8.25","4"
"902","6.9333300591","15"
"903","7.3333301544","6"
"905","8.6000003815","5"
"906","7.4000000954","5"
"907","6.9047617912","21"
"908","4","1"
"909","7.5999999046","5"
"910","7.652173996","23"
"911","6.6666698456","3"
"912","6.0909090042","11"
"913","6.7142901421","7"
"914","6.9333333969","15"
"916","7.5714287758","7"
"917","6.5","4"
"918","4.3333301544","3"
"919","7.6666698456","3"
"920","5.9166698456","12"
"921","6","4"
"922","7","16"
"923","6.6666698456","12"
"924","6.8125","16"
"925","7.75","4"
"926","6.882352829","17"
"927","7","6"
"928","6.25","4"
"929","5.2631602287","19"
"930","7","3"
"931","7.0666666031","15"
"932","6.3000001907","10"
"933","8.5","4"
"934","7.5999999046","5"
"935","7.8461499214","26"
"936","7.8000001907","5"
"938","6.7058801651","17"
"939","6.3846201897","13"
"940","6.9230799675","13"
"941","6.75","16"
"942","7.8000001907","10"
"943","6.5999999046","15"
"944","6.5714302063","14"
"946","6.8571400642","7"
"947","6.8461537361","26"
"948","6.6111111641","18"
"949","7.5468797684","64"
"950","6.5454545021","11"
"951","5.2083334923","24"
"953","6.5714287758","14"
"954","6.4285712242","14"
"955","6.1999998093","10"
"956","5.8695650101","23"
"957","6.6666698456","18"
"959","7.75","4"
"960","8","1"
"961","6.8181800842","11"
"962","6.875","16"
"963","6.5652198792","23"
"964","8.6000003815","5"
"965","6.625","8"
"966","6.3000001907","10"
"967","7.1428570747","7"
"968","7","11"
"969","8.6666698456","3"
"970","8","1"
"971","6","3"
"972","6","2"
"973","8","1"
"974","8","3"
"975","8.5","8"
"976","7.1999998093","5"
"977","8","3"
"978","6.4285712242","14"
"979","5.2777776718","36"
"980","8","2"
"981","6.7142901421","14"
"982","6.8181800842","11"
"983","6.3333334923","12"
"984","8.3333301544","6"
"985","7.1428599358","7"
"986","7.8333301544","6"
"987","8.3333301544","6"
"988","6.5","2"
"989","8.6666698456","3"
"990","6.6666665077","15"
"991","7.4000000954","5"
"992","8","6"
"993","6.6923098564","13"
"994","7.8333301544","6"
"995","7.8333334923","6"
"996","6.4375","16"
"997","8","1"
"998","8","3"
"999","7.5","2"
"1000","8","1"
"1001","7.75","4"
"1002","8.5","2"
"1004","8.3333301544","3"
"1005","7.5","2"
"1007","8","1"
"1008","7.5","2"
"1009","4.5","2"
"1010","8","1"
"1011","8","1"
"1012","8","1"
"1013","8","1"
"1014","8","1"
"1015","8","3"
"1016","8","1"
"1017","8","2"
"1018","7.5300002098","100"
"1020","8","1"
"1021","7","3"
"1022","6","2"
"1023","6.71544981","123"
"1024","6.625","8"
"1025","8","1"
"1026","8","1"
"1027","8","1"
"1028","8.5","4"
"1029","8","3"
"1030","8","1"
"1031","8","2"
"1032","8","3"
"1033","8","1"
"1034","8","1"
"1035","10","2"
"1036","6.5","2"
"1037","8","1"
"1038","8","2"
"1039","6","1"
"1040","6.6818199158","22"
"1041","7","2"
"1042","8","1"
"1043","9","2"
"1044","8.5","2"
"1045","8","2"
"1046","8.5","2"
"1047","8","1"
"1048","7","2"
"1049","8","7"
"1050","6.5999999046","10"
"1051","8.1666669846","6"
"1052","8","4"
"1058","6.6666698456","3"
"1059","7.5999999046","5"
"1061","8","1"
"1062","9.3333301544","3"
"1063","8","1"
"1064","8","2"
"1065","8.5","2"
"1066","9","2"
"1067","8.6666698456","3"
"1068","8","3"
"1069","8","1"
"1070","6.5","2"
"1071","8.5","2"
"1072","8","1"
"1073","7.2222223282","9"
"1074","8","1"
"1075","7.5","6"
"1076","7","2"
"1077","8.3999996185","5"
"1078","8","1"
"1079","9","2"
"1080","8","1"
"1081","8","1"
"1082","8","2"
"1083","8","1"
"1084","8","2"
"1085","9","2"
"1086","7.8000001907","5"
"1087","8.6666698456","3"
"1088","6.5","20"
"1089","5.125","8"
"1090","7.3333301544","6"
"1091","7.2142901421","28"
"1092","7.1153845787","26"
"1093","8","12"
"1095","8.3333301544","3"
"1096","8","2"
"1097","9.5","4"
"1098","9","2"
"1099","8","1"
"1100","8.3333301544","3"
"1101","8","1"
"1102","9.25","4"
"1103","7.2857098579","7"
"1104","8.5","2"
"1105","7.25","4"
"1106","6.5","2"
"1107","8.6666698456","3"
"1108","8","1"
"1109","7.5","2"
"1110","9","2"
"1111","6.1999998093","5"
"1112","8","1"
"1113","8.5","2"
"1114","6.5454502106","11"
"1115","6.5","6"
"1116","6.6666698456","12"
"1117","9","2"
"1118","8","1"
"1119","8","1"
"1120","9","2"
"1121","8","4"
"1122","9","2"
"1123","7.25","4"
"1124","6.5833334923","36"
"1125","6.4285697937","7"
"1126","6.3333301544","9"
"1127","4","18"
"1128","6.5","2"
"1131","8","1"
"1132","7.3333301544","3"
