"category_id","name","language_iso_639_1"
"57","Retro SF","en"
"57","Retro ciencia ficción","es"
"57","Retro Science Fiction","pl"
"58","Secret Service","de"
"58","US Geheimdienst","de"
"58","Secret Service","en"
"58","United States Secret Service","en"
"58","US Geheimdienst","en"
"58","Servicio secreto estadounidense","es"
"58","Servico secreto","es"
"61","Intrige","de"
"61","Komplott","de"
"61","Machenschaften","de"
"61","Verschwöhrung","de"
"61","Verschworene Gemeinschaft","de"
"61","Verschwörung","de"
"61","Complot","en"
"61","Conspiracy","en"
"61","Komplott","en"
"61","Plot","en"
"61","Verschwöhrung","en"
"61","Verschworene Gemeinschaft","en"
"61","Verschwörung","en"
"61","Conspiración","es"
"65","Feiertage","de"
"65","Holiday","en"
"65","Días festivos","es"
"69","Coming of Age","de"
"69","Coming of Age","de"
"69","Jugenddrama","de"
"69","Coming Of Age","en"
"69","Cine adolescente","es"
"69","Mayoría de edad","es"
"69","Devenir adulte","fr"
"69","film per ragazzi","it"
"69","Film o dojrzewaniu","pl"
"71","Familiendrama","de"
"71","Family Drama","en"
"71","Drama familiar","es"
"71","Drame familial","fr"
"71","Obyczajowy","pl"
"72","Tanzfilm","de"
"72","Dance Film","en"
"72","Baile","es"
"72","Film de danse","fr"
"72","Film taneczny","pl"
"73","Queer-Film","de"
"73","Queer Film","en"
"73","Película homosexual","es"
"73","Película queer","es"
"74","Bundesrepublik Deutschland","de"
"74","Deutschland","de"
"74","Germany","en"
"74","Alemania","es"
"74","Allemagne","fr"
"75","Revolverheld","de"
"75","Revolvermann","de"
"75","Gunslinger","en"
"75","Revolvermann","en"
"75","Matón","es"
"75","Tireur au révolver","fr"
"76","Verschwörungs-Thriller","de"
"76","Verschwörungsthriller","de"
"76","Conspiracy Thriller","en"
"76","Suspense con conspiración","es"
"76","Thriller conspirationniste","fr"
"76","Thriller konspiracyjny","pl"
"79","Mysterie","de"
"79","mysteriös","de"
"79","Mystery-Thriller","de"
"79","Mysterythriller","de"
"79","Mysterie","en"
"79","Mystery Thriller","en"
"79","Suspense con misterio","es"
"80","Krimi","de"
"80","Krimifilm","de"
"80","Kriminalfilm","de"
"80","Crime","en"
"80","Crimen","es"
"80","Film policier","fr"
"80","Kryminał","pl"
"81","Kampfkunstfilm","de"
"81","Kampfsportfilm","de"
"81","Martial Arts","de"
"81","Martial-Arts","de"
"81","Martial-Arts-Film","de"
"81","Kung-Fu","en"
"81","Martial Arts","en"
"81","Martial-Arts","en"
"81","Artes marciales","es"
"81","Arts martiaux","fr"
"81","Film sztuki walki","pl"
"82","Eastern","de"
"82","Eastern","en"
"82","Cine asiático","es"
"82","Cinéma asiatique","fr"
"82","Azjatyckie sztuki walki","pl"
"83","Rettung der Erde","de"
"83","Rettung der Welt","de"
"83","Saving The World","en"
"83","Salvar el mundo","es"
"84","Mythos","de"
"84","Myth","en"
"84","Mito","es"
"85","Comic","de"
"85","Comicverfilmung","de"
"85","Comic","en"
"85","Graphic Novel","en"
"85","Cómic","es"
"86","Tierhorror","de"
"86","Animalhorror","en"
"86","Animales","es"
"86","Zwierzęta","pl"
"87","Low Budget-Film","de"
"87","Low Budget Film","en"
"87","Película de bajo presupuesto","es"
"89","Schatzsuche","de"
"89","Schatzsucher-Film","de"
"89","Schatzsucherfilm","de"
"89","Treasure Hunting","en"
"89","En busca del tesoro","es"
"89","Chasse au trésor","fr"
"89","Film o poszukiwaniu skarbu","pl"
"90","Paris","de"
"90","Paris","en"
"90","París","es"
"92","Politdrama","de"
"92","Political Drama","en"
"92","Drama político","es"
"92","Drame politique","fr"
"92","Dramat polityczny","pl"
"99","DOKU","de"
"99","Dokumentarfilm","de"
"99","Dokumentation","de"
"99","Dokumentation","de"
"99","Documentary","en"
"99","Documentation","en"
"99","Documental","es"
"99","Documentaire","fr"
"99","Dokumentalny","pl"
"100","Slum","de"
"100","Slum","en"
"100","Asentamiento de chabolas","es"
"101","Inszenierter Dokumentarfilm","de"
"101","Arranged Documentary","en"
"101","Staged Documentary","en"
"101","Documental escenificado","es"
"101","Docu-fiction","fr"
"101","Inscenizowany film dokumentalny","pl"
"103","Naturkatastrophe","de"
"103","Natural Disaster","en"
"103","Desastre natural","es"
"103","Catastrophe naturelle","fr"
"103","Katastrofa naturalna","pl"
"104","Blockbuster","de"
"104","Blockbuster","en"
"104","Exitazo","es"
"104","Taquillazo","es"
"105","Desasterfilm","de"
"105","Katastrophe","de"
"105","Katastrophenfilm","de"
"105","Katastrophenthriller","de"
"105","Disaster Film","en"
"105","katastrophe","en"
"105","Cine de catástrofe","es"
"105","Film catastrophe","fr"
"105","Katastroficzny","pl"
"106","Polit-Thriller","de"
"106","Politischer Thriller","de"
"106","Politthriller","de"
"106","Politthriller","de"
"106","Political Thriller","en"
"106","Suspense político","es"
"106","Thriller politique","fr"
"106","Thriller polityczny","pl"
"107","Barcelona","de"
"107","Barcelona","en"
"107","Barcelona","es"
"108","Transvestitismus","de"
"108","Transvestism","en"
"108","Travestí","es"
"108","Travestismo","es"
"110","Venedig","de"
"110","Venice","en"
"110","Venecia","es"
"113","Heiliger Gral","de"
"113","Holy Grail","en"
"113","Santo grial","es"
"114","Satire","de"
"114","Satire","en"
"114","Sátira","es"
"114","Satyra","pl"
"115","Mediensatire","de"
"115","Satire On Media","en"
"115","Sátira de medios","es"
"115","Satyra na media","pl"
"116","Kriegssatire","de"
"116","Satire On War","en"
"116","Sátira de guerra","es"
"116","Satyra wojenna","pl"
"117","Politische Satire","de"
"117","Politische Satire","de"
"117","Political Satire","en"
"117","Sátira política","es"
"117","Satyra polityczna","pl"
"121","Beziehungskomödie","de"
"121","Screwball Comedy","de"
"121","Screwball-Komödie","de"
"121","Daffy Comedy","en"
"121","Madcap Comedy","en"
"121","Screwball Comedy Film","en"
"121","Screwball comedia","es"
"121","Comédie de moeurs","fr"
"121","Screwball comedy","fr"
"121","Screwball komedia","pl"
"122","Tragikkomödie","de"
"122","Tragikomödie","de"
"122","Tragic Comedy Film","en"
"122","Tragicomedy","en"
"122","Tragicomedia","es"
"122","Comédie dramatique","fr"
"122","Tragikomedia","pl"
"124","Slapstick","de"
"124","Slapstick Komödie","de"
"124","Slapstick-Comedy","de"
"124","Slapstick-Komödie","de"
"124","Slapstickkomödie","de"
"124","Slapstick","en"
"124","Slapstick Comedy Film","en"
"124","Splatstick","en"
"124","Splatstick Comedy Film","en"
"124","Gore","es"
"124","Slapstick comedia","es"
"124","Slapstick","fr"
"124","Splatstick -burlesque gore","fr"
"124","Komedia Slapstick","pl"
"124","Komedia Splatstick","pl"
"126","Romantikkomödie","de"
