"id","name","parent_id","date"
"4915","Staffel 1","4914","2007-05-02"
"5026","Season 2","1501","2007-04-02"
"5029","Season 3","1501","2008-02-18"
"5117","Season One","1704","2005-05-24"
"5129","Season One","5505","2007-12-16"
"5158","Season Three","2522","2004-10-28"
"5190","Season 1","5189","1985-04-21"
"5191","Season 10","5189","1994-05-22"
"5192","Season 4","5189","1988-05-08"
"5193","Season 7","5189","1991-05-12"
"5194","Season 8","5189","1992-05-17"
"5195","Season 5","5189","1989-05-21"
"5196","Season 3","5189","1987-05-10"
"5197","Season 2","5189","1986-05-18"
"5198","Season 6","5189","1990-05-20"
"5199","Season 9","5189","1993-05-16"
"5209","Season 1","5208","2001-08-20"
"5216","Season 2","5208","2002-11-04"
"5223","Christmas Special","5208","2003-12-27"
"5300","Season One","5299","1992-07-14"
"5305","Season One","5304","1993-11-01"
"5306","Season Two","5304","1994-11-21"
"5307","Season Three","5304","1996-10-28"
"5315","Season Two","5299","1994-01-01"
"5337","Season Three","5299","1994-01-01"
"5352","Season Four","5299","1995-01-01"
"5377","Staffel 5","5299","1996-01-01"
"5379","Staffel 6","5299",\N
"5403","Erste Staffel","5402","2007-04-15"
"5452","Special Episodes","5304","2006-10-01"
"5531","Season One","5530","1991-11-01"
"5533","Season Two","5530","1991-12-31"
"5556","Season One","5555","2001-01-25"
"5566","Season One","5565","1994-11-21"
"5663","Staffel 1","5659","1994-12-31"
"5664","Staffel 2","5659",\N
"5671","Staffel 1","5670","1988-01-01"
"5696","Series 2","5695","2000-02-18"
"5697","Series 3","5695","2002-10-31"
"5793","Season 2","1704","2006-05-23"
"5847","Series 1","5695","1999-02-15"
"6050","Series 1","6049","2005-01-02"
"6084","Season 4","6082","2004-05-20"
"6087","Season 1","6082","2001-05-17"
"6088","Season 2","6082","2002-05-16"
"6089","Season 3","6082","2003-05-15"
"6090","Season 18","36","2007-05-20"
"6093","Season 5","6092","2007-05-10"
"6096","Season 6","6095","2007-05-21"
"6098","Season 3","6095","2004-05-23"
"6119","Season 3","1502","2004-05-04"
"6134","Staffel 1","6133","2007-01-01"
"6237","Season 6","36","1995-05-21"
"6288","Season 2","6287","2007-05-16"
"6293","Season 7","6292","2007-05-15"
"6299","Season 1","1502","2002-05-21"
"6323","Season 1","6321","2004-05-23"
"6324","Season 2","6321","2005-05-22"
"6328","Season 6","6326","2007-05-16"
"6331","Season 1","1275","1995-05-22"
"6332","Season 2","1275","1996-05-20"
"6343","Season 1","6342","2006-05-04"
"6348","Season 3","6347","2000-05-22"
"6354","Season 4","6347","2001-05-21"
"6356","Season 2","2543","2007-05-16"
"6376","Season 1","6370","1999-05-26"
"6392","Staffel 1","6390","1995-02-09"
"6421","Season 2","2547","2006-05-17"
"6422","Season 3","2547","2007-05-16"
"6431","Season 3","6430","2005-05-23"
"6491","Staffel 1","6490","2007-01-04"
"6541","Season 3","2513","2007-05-29"
"6546","Erste Staffel","6545","1998-04-16"
"6571","Season 2","6342","2007-05-17"
"6598","Season 2","6576","2006-03-10"
"6604","Season 3","1708","2007-06-22"
"6606","Season 2","1708","2006-03-10"
"6664","Season 17","36","2006-05-21"
"6701","Season 4","6430","2006-05-22"
"6717","Season 1","6716","1972-02-09"
"6718","Season 2","6716","1973-03-25"
"6755","Season 1","6742","1987-06-28"
"6769","Season 3","1704","2007-05-29"
"6821","Season 2","6742","1988-05-01"
"6856","Season 7","36","1996-05-19"
"6886","Season 1","6885","2006-10-15"
"6891","Season 1","6890","2007-02-15"
"6904","Season 7","6903","2006-05-14"
"7045","Season 1","7044","1989-05-17"
"7046","Season Two","7044","1990-05-09"
"7047","Season 3","7044","1991-05-22"
"7048","Season Four","7044","1992-05-20"
"7049","Season 5","7044","1993-05-05"
"7068","Season 1","7067","2007-03-02"
"7069","Season 2","7067","2008-02-15"
"7195","Season 1 - Signs and Portents","7194","1994-10-26"
"7198","Season 2 - The Coming Of Shadows","7194","1995-11-01"
"7201","Season 3 - Point of No Return","7194","1996-10-28"
"7204","Season 4 - No Surrender, No Retreat","7194","1997-10-27"
"7207","Season 5 - Wheel of Fire","7194","1998-11-25"
"7221","Season 6","6082","2006-05-18"
"7251","Season 8","36","1997-05-18"
"7284","Season One","7283","1998-09-19"
"7315","Season 19","36","2008-05-18"
"7354","Season 4","7352","2008-05-18"
"7361","Season 4","2495","2008-05-22"
"7365","Season 2","6430","2004-05-24"
"7390","Season One","6430","2003-05-19"
