"movie_id","referenced_id","type"
"10730","244","Remake"
"10127","3980","Influence"
"10873","653",\N
"10963","10965","Homage"
"11045","2330","Remake"
"10258","953","SpinOff"
"10299","10242","Influence"
"10327","8835",\N
"10624","88","Parody"
"11252","539","Remake"
"9291","4985","Remake"
"10748","11402","Remake"
"11435","252","Influence"
"11435","252","Parody"
"11487","11461",\N
"11487","11486",\N
"11487","11486",\N
"11486","5724","Influence"
"11535","11484","Remake"
"9991","4985","Remake"
"1598","11349","Remake"
"7757","13",\N
"11487","11752","Homage"
"11461","11752","Homage"
"11486","11752","Homage"
"11436","2842","Homage"
"11436","348","Homage"
"11436","10384","Homage"
"11436","593","Homage"
"11461","11486",\N
"11793","4024","Influence"
"11640","8978","Remake"
"11866","10243","Remake"
"11610","289",\N
"11885","8411",\N
"8411","11885","SpinOff"
"11589","429",\N
"11896","845",\N
"11767","289",\N
"11890","2798","Remake"
"11860","6620","Remake"
"7909","74","Influence"
"12110","138","Parody"
"12110","6114","Parody"
"12122","11773","Remake"
"12180","10","SpinOff"
"9009","12205","Remake"
"9081","76",\N
"10353","11687","Influence"
"9899","12248","Remake"
"1708","2164","SpinOff"
"1708","1706","SpinOff"
"12161","5155","Influence"
"12572","2266","Influence"
"9817","9816",\N
"7446","792","Parody"
"11026","12700","Remake"
"12971","12969","Remake"
"13770","11","Remake"
"9679","14076","Remake"
"2501","8677","Remake"
"14124","841",\N
"14124","876",\N
"14138","11910",\N
"14447","1706","SpinOff"
"1706","2164","SpinOff"
"14449","1706","SpinOff"
"7249","3307","SpinOff"
"14479","591",\N
"14530","3048","SpinOff"
"411","11538",\N
"14569","14756","Remake"
"14754","14756","Remake"
"6479","11234","Remake"
"14778","289",\N
"14778","783",\N
"14778","10587",\N
"14778","11546",\N
"14778","395",\N
"13291","3090","Remake"
"7735","14087","Remake"
"15103","12","Influence"
"15103","717",\N
"10483","14598","Remake"
"15202","12946","Influence"
"15202","12946","Remake"
"15202","12946",\N
"14710","2103","Influence"
"14710","2297","Influence"
"58","22",\N
"1970","11838","Remake"
"1091","10785","Remake"
"1422","10775","Remake"
"15582","5705","Remake"
