"movie_id","country_code"
"542","MX"
"543","GB"
"544","US"
"537","FR"
"331","US"
"546","US"
"548","JP"
"499","FR"
"499","IT"
"296","US"
"550","DE"
"550","US"
"551","US"
"547","US"
"552","IT"
"522","US"
"554","RU"
"554","FI"
"555","CH"
"549","US"
"560","US"
"530","GB"
"473","US"
"566","US"
"85","US"
"89","US"
"87","US"
"567","US"
"568","US"
"525","US"
"569","FR"
"470","US"
"557","US"
"562","US"
"563","US"
"572","DK"
"572","SE"
"572","NO"
"512","GB"
"271","SE"
"271","NO"
"574","US"
"342","DE"
"576","US"
"564","US"
"577","US"
"575","DE"
"584","US"
"581","US"
"578","US"
"14","US"
"573","GB"
"570","FR"
"570","IT"
"587","US"
"586","US"
"18","MR"
"18","GB"
"49209","JP"
"49181","JP"
"591","MT"
"591","US"
"592","US"
"590","US"
"596","US"
"597","US"
"598","BR"
"599","US"
"600","GB"
"602","US"
"595","US"
"531","GB"
"532","GB"
"594","US"
"614","SE"
"615","US"
"28","US"
"28","DO"
"28","PH"
"613","DE"
"40051","US"
"616","US"
"616","NZ"
"616","JP"
"618","US"
"619","US"
"620","US"
"621","US"
"622","FR"
"622","PT"
"622","ES"
"623","US"
"624","US"
"625","KH"
"9","DE"
"626","FR"
"627","GB"
"558","US"
"628","US"
"629","US"
"630","US"
"631","US"
"632","US"
"633","NL"
"24","US"
"24","JP"
"634","GB"
"635","US"
"636","US"
"617","US"
"639","US"
"603","US"
"604","US"
"605","US"
"641","US"
"642","US"
"607","US"
"608","US"
"644","US"
"501","US"
"585","US"
"647","JP"
"648","FR"
"649","FR"
"650","US"
"651","US"
"652","MT"
"652","MX"
"652","GB"
"654","US"
"655","US"
"646","GB"
"646","JM"
"653","DE"
"658","US"
"658","GB"
"661","DE"
"662","FR"
"601","US"
"663","US"
"664","US"
"665","US"
"666","BR"
"609","US"
"660","FR"
"660","BS"
"660","GB"
"660","US"
"667","JP"
"667","ES"
"667","US"
"667","GB"
"669","CA"
"670","KR"
"670","NZ"
"676","US"
"668","CH"
"668","PT"
"668","GB"
"668","DE"
"678","US"
"679","US"
"679","GB"
"681","DE"
"681","US"
"681","GB"
"681","NL"
"253","US"
"253","JM"
"253","GB"
"682","TH"
"682","CN"
"682","GB"
"638","US"
"211","DE"
"677","DE"
"659","DE"
"637","IT"
"685","DE"
"686","US"
"265","DE"
"689","GR"
"690","FR"
"691","EG"
"691","CA"
"691","IT"
"691","BS"
"691","GB"
"691","CH"
"692","US"
"687","US"
"693","US"
"688","US"
"695","US"
"694","GB"
"696","US"
"698","GB"
"698","US"
"698","AR"
"698","BR"
"698","IT"
"698","FR"
"402","US"
"402","FR"
"699","GR"
"699","GB"
"699","IT"
"700","GB"
"700","DE"
"700","IN"
"700","US"
"701","US"
"702","US"
"703","US"
"350","US"
"704","GB"
"705","US"
"706","DE"
"606","US"
"640","US"
"707","FR"
"707","GB"
"707","US"
"707","IS"
"708","MA"
"708","AT"
"708","GB"
"708","US"
"708","GI"
"709","MX"
"709","US"
"709","GB"
"710","GB"
"710","FR"
"710","MC"
"710","RU"
"710","CH"
"710","PR"
"711","US"
"711","CA"
"583","GB"
"714","DE"
"714","TH"
"714","GB"
"714","MX"
"714","FR"
"712","GB"
"713","NZ"
"728","US"
"730","US"
"725","ES"
"725","TR"
"725","BS"
"725","FR"
"731","US"
"142","US"
"142","CA"
"142","GB"
"732","US"
"733","US"
"734","US"
"726","GB"
"726","ES"
"726","US"
"726","IS"
"726","NO"
"727","IT"
"727","BS"
"727","CZ"
"727","GB"
"736","DE"
"737","US"
"738","FR"
"738","BS"
"738","MC"
"738","US"
"738","GB"
"561","US"
"671","GB"
"27376","US"
"15","US"
"155","US"
"729","US"
"743","DE"
"743","FI"
"177","US"
"744","US"
"747","GB"
"749","GB"
"750","GB"
"742","SE"
"752","DE"
"752","US"
"752","GB"
"672","US"
"672","GB"
"672","DE"
"753","US"
"754","US"
"755","US"
"756","US"
"757","GB"
"758","GB"
"759","US"
"760","US"
"760","FR"
"673","GB"
"673","US"
"761","FR"
"674","US"
"674","GB"
"465","FR"
"762","GB"
"717","US"
"763","NZ"
"675","GB"
"764","US"
"767","US"
"767","GB"
"724","US"
"746","CN"
"768","GB"
"768","CZ"
"769","US"
"770","US"
"771","US"
"772","US"
"774","FR"
"775","FR"
"777","FR"
"778","FR"
"779","FR"
"779","DE"
"780","FR"
"781","DE"
"745","US"
"776","FR"
"785","DE"
"765","US"
"786","US"
"782","US"
"787","US"
"784","CZ"
"788","US"
"789","CZ"
"751","GB"
"766","US"
"790","US"
"793","US"
"680","US"
"792","US"
"791","CA"
"794","GB"
"794","IT"
"783","IN"
"783","GB"
"796","US"
"797","SE"
"795","US"
"798","DE"
"799","DE"
"800","MX"
"803","FR"
"801","TH"
"804","US"
"805","US"
"802","GB"
"802","US"
"806","HR"
"806","CZ"
"806","IT"
"806","IE"
"807","US"
"811","US"
"819","US"
"820","US"
"821","DE"
"822","IN"
"823","JP"
"824","US"
"825","US"
"826","GB"
"826","LK"
"827","FR"
"828","US"
"829","US"
"830","US"
"832","DE"
"831","US"
"833","IT"
"277","HU"
"277","CA"
"834","CA"
"835","DE"
"838","US"
"839","US"
"840","US"
"836","BR"
"837","CA"
"194","FR"
"194","DE"
"845","US"
"841","US"
"841","MX"
"846","US"
"846","CA"
"847","GB"
"847","US"
"847","NZ"
"848","GB"
"844","HK"
"850","US"
"850","CA"
"851","GB"
"852","DE"
"852","CH"
"853","US"
"854","US"
"855","US"
"849","GB"
"849","ES"
"849","IT"
"856","US"
"856","GB"
"857","FR"
"857","GB"
"857","IE"
"860","US"
"97","US"
"861","MX"
"863","US"
"858","US"
"720","US"
"864","US"
"721","US"
"859","US"
"859","GB"
"865","US"
"866","US"
"866","GB"
"867","US"
"842","US"
"869","US"
"868","ZA"
"870","JP"
"871","US"
"246","JP"
"872","US"
"873","US"
"874","GB"
"875","US"
"877","US"
"876","US"
"876","CA"
"876","DE"
"876","IT"
"879","US"
"722","US"
"715","US"
"716","GB"
"719","US"
"719","GB"
"881","US"
"880","NL"
"882","DE"
"884","CA"
"885","US"
"886","US"
"887","US"
"888","US"
"723","DE"
"889","US"
"883","US"
"892","FR"
"891","US"
"896","IN"
"897","IN"
"893","DE"
"899","US"
"894","DE"
"900","US"
"902","FR"
"901","US"
"903","US"
"904","DE"
"906","DE"
"905","DE"
"907","US"
"907","CA"
"907","FI"
"907","ES"
"816","US"
"816","DE"
"898","US"
"913","US"
"912","US"
"911","US"
"910","US"
"909","US"
"914","US"
"817","US"
"916","US"
"917","IN"
"918","US"
"930","DE"
"931","IT"
"931","GB"
"932","DE"
"933","DD"
"934","FR"
"935","US"
