"image_id","object_id","object_type","image_version"
"304","1610","Person","2"
"305","1653","Person","2"
"307","1655","Person",\N
"308","1658","Person",\N
"309","1650","Person","4"
"310","148","Movie",\N
"311","1619","Person","2"
"312","1620","Person","2"
"313","149","Movie",\N
"314","22","Movie",\N
"315","114","Person","2"
"316","116","Person","2"
"317","118","Person","2"
"318","150","Movie","2"
"319","1733","Person","3"
"321",\N,\N,\N
"322","152","Movie",\N
"323","153","Movie",\N
"324","1771","Person","2"
"325","1772","Person","2"
"326","1748","Person","3"
"327","1749","Person","3"
"328","1750","Person","2"
"329","1751","Person","2"
"330","1752","Person","3"
"331","1753","Person","2"
"332","1754","Person","2"
"333","154","Movie",\N
"334","142","Movie",\N
"335","1810","Person","3"
"336","675","Person","2"
"337","677","Person","4"
"339","157","Movie",\N
"340","156","Movie",\N
"341","158","Movie",\N
"342","1844","Person","2"
"343","159","Movie",\N
"344",\N,\N,\N
"345","161","Movie",\N
"346","160","Movie",\N
"347","162","Movie",\N
"348","1920","Person","2"
"349","1902","Person","2"
"350","163","Movie",\N
"351","164","Movie","2"
"352","1932","Person","2"
"353","1933","Person","2"
"354","1934","Person","2"
"355","165","Movie",\N
"356","1935","Person","2"
"357","166","Movie","2"
"358",\N,\N,\N
"359","143","Movie",\N
"360","168","Movie",\N
"361","169","Movie",\N
"362","170","Movie",\N
"363","2037","Person","2"
"364","2048","Person","2"
"365","171","Movie",\N
"366","172","Movie",\N
"367","15","Character",\N
"368","16","Character",\N
"369","17","Character",\N
"370","18","Character",\N
"371","19","Character",\N
"372","20","Character",\N
"373","21","Character",\N
"374","679","Person","5"
"375","174","Movie",\N
"376","1084","Person","2"
"377","177","Movie",\N
"378","175","Movie","2"
"379","2127","Person","2"
"380","2000","Person",\N
"381","2128","Person","2"
"382","176","Movie",\N
"383","180","Movie",\N
"384",\N,\N,\N
"385","2007","Person","2"
"386","183","Movie","2"
"387","179","Movie",\N
"388","1892","Person","2"
"389","184","Movie",\N
"390","22","Character",\N
"391","241","Person","2"
"392",\N,\N,\N
"393","178","Movie",\N
"394","185","Movie",\N
"395","186","Movie",\N
"396","2034","Person","2"
"397","144","Movie",\N
"398","191","Movie",\N
"399",\N,\N,\N
"400","173","Movie",\N
"401","192","Movie","2"
"402","193","Movie",\N
"403","2387","Person","2"
"404","23","Character",\N
"405","24","Character",\N
"406","25","Character",\N
"407","26","Character",\N
"408","27","Character",\N
"409","28","Character",\N
"410","29","Character",\N
"411","30","Character",\N
"412","194","Movie",\N
"413","195","Movie",\N
"414","2428","Person","2"
"415","58","Movie",\N
"416","1709","Person","2"
"417","196","Movie",\N
"418","2433","Person","2"
"419","2434","Person",\N
"420","2435","Person","3"
"421","197","Movie",\N
"422","2436","Person","2"
"423","198","Movie",\N
"424","199","Movie",\N
"425","200","Movie",\N
"426","2491","Person","2"
"427","2492","Person",\N
"428","2493","Person","2"
"429","2494","Person",\N
"430","201","Movie",\N
"431","151","Movie","4"
"432",\N,\N,\N
"433",\N,\N,\N
"434",\N,\N,\N
"435","140","Person","2"
"436","2547","Person","2"
"437","2076","Person","3"
"438","290","Person","2"
"439","2090","Person","3"
"440","98","Person","2"
"441","2461","Person","4"
"442","203","Movie",\N
"443","204","Movie",\N
"444","205","Movie",\N
"445","2555","Person","2"
"446","1896","Person","2"
"447","2598","Person","2"
"448",\N,\N,\N
"449",\N,\N,\N
"450",\N,\N,\N
"451",\N,\N,\N
"452",\N,\N,\N
"453",\N,\N,\N
"454",\N,\N,\N
"455","212","Movie",\N
"456","213","Movie",\N
"457","2667","Person",\N
"458","2670","Person","2"
"459","2673","Person",\N
"460","2638","Person","2"
"461","2669","Person","2"
"462","214","Movie",\N
"463","216","Movie",\N
"464","215","Movie",\N
"465","218","Movie",\N
"466","207","Movie",\N
"467","219","Movie",\N
"468","2639","Person","2"
"469","2091","Person","2"
"470","2640","Person","2"
"471","2636","Person","2"
"472","220","Movie",\N
"473","2725","Person","3"
"474","2749","Person","4"
"475","221","Movie",\N
"476","222","Movie",\N
"477","2798","Person",\N
"478","2746","Person","2"
"479","223","Movie",\N
"480","2801","Person","2"
"481","225","Movie","2"
"482","224","Movie","2"
"483","226","Movie",\N
"484","227","Movie",\N
"485","2882","Person","2"
"486","1769","Person","2"
"487","228","Movie",\N
"488",\N,\N,\N
"489","2896","Person","2"
"490","2895","Person","2"
"491","2897","Person","2"
"492","2898","Person",\N
"493","229","Movie",\N
"494","232","Movie",\N
"495","231","Movie",\N
"496","233","Movie",\N
"497","2954","Person","2"
"498","2955","Person","2"
"499","234","Movie",\N
"500","235","Movie","2"
"501","3033","Person","2"
"502","741","Person","2"
"503","3034","Person","2"
"504","3035","Person","4"
"505","236","Movie",\N
"506","237","Movie",\N
"507","3061","Person","2"
"508","3063","Person","2"
"509","3064","Person","2"
"510","3051","Person","2"
"511","230","Movie",\N
"512","238","Movie",\N
"513","5","Movie",\N
"514","3084","Person","3"
"515","239","Movie",\N
"516","240","Movie",\N
"517","1776","Person","3"
"518","3087","Person","2"
"519","3092","Person","3"
"520","3096","Person",\N
"521","241","Movie",\N
"522",\N,\N,\N
"523","242","Movie",\N
"524","243","Movie",\N
"525","244","Movie",\N
"526","3267","Person","3"
"527","245","Movie",\N
"528","247","Movie",\N
"529","3359","Person","2"
"530","248","Movie",\N
"531","3360","Person","2"
"532","3381","Person","2"
"533","3380","Person","3"
"534","2662","Person","2"
"535","3382","Person","2"
"536","2314","Person","2"
"537","3361","Person","2"
"538","249","Movie","3"
"539","3083","Person","3"
"540","250","Movie",\N
"541","251","Movie",\N
"542","723","Person","2"
"543","3416","Person","2"
"544",\N,\N,\N
"545",\N,\N,\N
"546",\N,\N,\N
"547","32","Character",\N
"548",\N,\N,\N
"549","252","Movie",\N
"550","2759","Person","2"
"551","254","Movie",\N
"552","255","Movie","8"
"553","3196","Person","4"
"554",\N,\N,\N
"555","256","Movie",\N
"556","257","Movie",\N
"557","3489","Person","2"
"558","3490","Person","2"
"559","258","Movie","3"
"560","24","Person","2"
"561","37","Person","2"
"562","259","Movie","4"
"563","3507","Person","38"
"564","260","Movie",\N
"565","3231","Person","2"
"566","417","Person","2"
"567","261","Movie","2"
"568","3635","Person","2"
"569","510","Person","2"
"570","262","Movie",\N
"573","139","Person","3"
"581","3171","Person","2"
"582","569","Person","2"
"583","584","Person",\N
"584","585","Person","3"
"585","587","Person","3"
"586","3636","Person","2"
"587","3362","Person","2"
"588","2753","Person","2"
"589","3632","Person","2"
"590","265","Movie","3"
"591","3734","Person","4"
"592","3772","Person",\N
"593","266","Movie",\N
"594","3783","Person","2"
"595","263","Movie","6"
"596","834","Person","2"
"597","268","Movie",\N
"598","267","Movie",\N
"599","3808","Person","2"
"600","3809","Person","2"
"601","269","Movie",\N
"603","3840","Person","3"
"604","3841","Person","2"
"606","271","Movie",\N
"607","3830","Person","2"
"608","854","Person","3"
"609","272","Movie",\N
"610","273","Movie",\N
"611","856","Person","2"
"612","3872","Person","3"
"615","2343","Person","3"
"618","275","Movie","2"
"619",\N,\N,\N
"620",\N,\N,\N
"621",\N,\N,\N
"622",\N,\N,\N
"623",\N,\N,\N
"624",\N,\N,\N
"625","276","Movie",\N
"626","277","Movie",\N
"627","3932","Person","2"
"628","3933","Person","2"
"629","279","Movie",\N
"630","280","Movie",\N
"631",\N,\N,\N
"632","3460","Person","2"
"633","284","Movie",\N
"634","264","Movie",\N
"635","397","Category",\N
"636","25","Company",\N
"637","287","Movie",\N
"638","288","Movie",\N
"639","289","Movie",\N
"640","293","Movie",\N
"641","294","Movie",\N
"643","295","Movie","7"
"644","292","Movie",\N
"645","297","Movie",\N
"646","1527","Category",\N
"647","290","Movie",\N
"648",\N,\N,\N
"649",\N,\N,\N
"650",\N,\N,\N
"651","300","Movie",\N
"652","301","Movie",\N
"653","4165","Person","4"
"654","4299","Person","2"
"655","4300","Person","2"
"656","4302","Person","2"
"657","291","Movie",\N
"658","299","Movie",\N
"659","302","Movie",\N
"660","303","Movie",\N
"661","4111","Person","2"
"662","54","Character",\N
"663","55","Character",\N
"664","56","Character",\N
"665","307","Movie",\N
"666","308","Movie",\N
"667","306","Movie",\N
"668","305","Movie",\N
"669","309","Movie",\N
"670","310","Movie",\N
"671","311","Movie","4"
"672","312","Movie",\N
"673","313","Movie",\N
"674","314","Movie",\N
"675","316","Movie",\N
"676","317","Movie",\N
"677","63","Person","3"
"678","318","Movie",\N
"679","315","Movie",\N
"680","319","Movie",\N
"681","320","Movie",\N
"682","321","Movie",\N
"683","322","Movie",\N
"684","325","Movie",\N
"685","324","Movie",\N
"686","326","Movie","2"
"687","329","Movie",\N
"688","330","Movie",\N
"689","331","Movie",\N
"690","333","Movie",\N
"691","334","Movie",\N
"692","338","Movie",\N
"693","328","Movie","4"
"694","340","Movie",\N
"695","339","Movie",\N
"696","341","Movie","2"
"697","491","Person","2"
"698","4783","Person","5"
"699","4786","Person","2"
"700","4937","Person","2"
"701","3905","Person","3"
"702","4939","Person","2"
"703","488","Person","2"
"704","335","Movie","2"
"705","344","Movie",\N
"706","343","Movie","4"
"707","327","Movie",\N
"708","345","Movie",\N
"709","347","Movie",\N
"710","348","Movie",\N
"711","36","Company",\N
"712","115","Company",\N
"713","349","Movie",\N
"714","351","Movie",\N
"715",\N,\N,\N
"716","364","Movie",\N
"717","363","Movie",\N
"718","377","Movie",\N
"719","379","Movie",\N
"720","378","Movie",\N
"721","381","Movie",\N
"722","380","Movie",\N
"723","342","Movie",\N
"725","383","Movie",\N
"726","387","Movie",\N
"727","389","Movie",\N
"728","390","Movie",\N
"729","393","Movie",\N
"730","392","Movie",\N
"731","658","Person","2"
"732","5309","Person","2"
"733","715","Category",\N
"734","395","Movie",\N
"735","5344","Person","2"
"736","397","Movie","2"
"737","398","Movie",\N
"738","401","Movie",\N
"739","405","Movie",\N
"740","406","Movie",\N
"741","400","Movie",\N
"742","408","Movie",\N
"743","388","Movie",\N
"744","410","Movie",\N
"745","411","Movie",\N
"746","336","Movie",\N
"747","412","Movie",\N
"748","413","Movie",\N
"749","416","Movie","3"
"750","414","Movie",\N
"751","417","Movie",\N
"752","418","Movie",\N
"753","415","Movie",\N
"754","77","Character",\N
"755","409","Movie",\N
"756","404","Movie",\N
"757","419","Movie",\N
"758","421","Movie",\N
"759","422","Movie",\N
"760","423","Movie",\N
"761","424","Movie","2"
"762","403","Movie",\N
"763","425","Movie",\N
"764","426","Movie",\N
"765","427","Movie",\N
"766","428","Movie",\N
"767","429","Movie",\N
"768","430","Movie","2"
"770","431","Movie",\N
"771","617","Category",\N
"772","433","Movie","2"
"773","611","Category",\N
"774","604","Category",\N
"775","619","Category",\N
"776","65","Person","2"
"777","337","Movie",\N
"778","2012","Category",\N
"779","1652","Category",\N
"780","2107","Category",\N
"781","1884","Category",\N
"782","1440","Category",\N
"783","435","Movie",\N
"784","985","Category",\N
"785","418","Category",\N
"786","1796","Category",\N
"787","1356","Category",\N
"788","1890","Category",\N
"789","1819","Category",\N
"790","1789","Category",\N
"791","651","Category",\N
"792","1023","Category",\N
